Time,S21_dB,Phase_Deg,S21_Gauss_SavGol,Phase_Gauss_SavGol,Background_dB,Background_Phase,Anomaly,OBJ,Height
4.2162,0.037739,-2448.4,0.0174382,-2350.02,0.0128761,-1202.59,1,NO,1.25
4.23035,0.0531155,-2346.05,0.0169073,-2403.58,0.0129581,-1213.16,1,NO,1.25
4.24579,0.00846548,-2503.66,0.0163612,-2456.67,0.0130396,-1223.84,1,NO,1.25
4.26003,-0.0271134,-2625.31,0.0158633,-2506.63,0.0131179,-1234.66,1,NO,1.25
4.27441,-0.00474194,-2529.18,0.0153809,-2549.91,0.0131903,-1245.62,1,NO,1.25
4.28848,0.0176543,-2701.14,0.0148769,-2583.36,0.013254,-1256.71,1,NO,1.25
4.30222,0.0490956,-2684.53,0.0144303,-2605.69,0.0133076,-1267.92,1,NO,1.25
4.31667,0.04489,-2581.1,0.0142017,-2617.88,0.013351,-1279.23,1,NO,1.25
4.33066,-0.00966958,-2534.68,0.0142963,-2622.56,0.0133853,-1290.61,1,NO,1.25
4.34506,-0.0126757,-2633.97,0.0147008,-2622.79,0.0134115,-1302.06,1,NO,1.25
4.36078,0.00882687,-2640.38,0.015325,-2621.18,0.0134303,-1313.59,1,NO,1.25
4.37509,0.0240602,-2785.06,0.0160288,-2619.67,0.0134421,-1325.2,1,NO,1.25
4.38892,0.0375396,-2653.83,0.0166186,-2620.05,0.0134469,-1336.9,1,NO,1.25
4.40292,0.0217574,-2541.68,0.0169295,-2624.15,0.0134449,-1348.66,1,NO,1.25
4.41798,-0.00328482,-2463.65,0.0170002,-2633.32,0.013437,-1360.5,1,NO,1.25
4.43222,0.00887065,-2560.38,0.0171329,-2647.65,0.0134254,-1372.39,1,NO,1.25
4.4467,0.0209114,-2566.73,0.0176896,-2665.47,0.0134134,-1384.35,1,NO,1.25
4.46099,0.0477139,-2657.16,0.0187782,-2683.97,0.0134038,-1396.36,1,NO,1.25
4.47495,0.0355006,-2833.68,0.0201398,-2700.62,0.0133982,-1408.41,1,NO,1.25
4.49013,-0.020236,-2668.38,0.0213553,-2714.33,0.0133961,-1420.49,1,NO,1.25
